compute,CNN arch,epochs,time,validation accuracy
GPU_JHUB,VGG16,5,91,0.5
GPU_JHUB,VGG16,10,156,0.5
GPU_JHUB,VGG16,15,230,0.5
GPU_JHUB,LeNet-5,5,24,0.78
GPU_JHUB,LeNet-5,10,42,0.78
GPU_JHUB,LeNet-5,15,61,0.78
CPU_JHUB,VGG16,5,5,0
CPU_JHUB,VGG16,10,5,0
CPU_JHUB,VGG16,15,5,0
CPU_JHUB,LeNet-5,5,5,0
CPU_JHUB,LeNet-5,10,5,0
CPU_JHUB,LeNet-5,15,5,0
Frontera_RTX,VGG16,5,3,0
Frontera_RTX,VGG16,10,3,0
Frontera_RTX,VGG16,15,3,0
Frontera_RTX,LeNet-5,5,3,0
Frontera_RTX,LeNet-5,10,3,0
Frontera_RTX,LeNet-5,15,3,0
